subject,sessionIndex,rep,Hold,Down-Down,Up-Down
Andy,1,4,0.133174896,0.060895443,-0.072279453
Andy,1,5,0.135121107,0.082097054,-0.053024054
Andy,1,6,0.180334568,0.147568226,-0.032766342
Andy,1,7,0.140515804,0.098317385,-0.04219842
Andy,1,8,0.178005219,0.802742243,0.624737024
Andy,1,9,0.124595642,0.134637117,0.010041475
Andy,1,10,0.155950785,0.119627237,-0.036323547
Andy,2,1,0.144354582,0.082001209,-0.062353373
Andy,2,2,0.124248981,0.131270885,0.007021904
Andy,2,3,0.147644758,0.105003595,-0.042641163
Andy,2,4,0.154397011,0.06570673,-0.088690281
Andy,2,5,0.120350599,0.042664528,-0.077686071
Andy,2,6,0.131944418,0.131473303,-0.000471115
Andy,2,7,0.121797085,0.092032433,-0.029764652
Andy,2,8,0.160809755,0.127991915,-0.032817841
Andy,2,9,0.161730051,0.122108936,-0.039621115
Andy,2,10,0.154019117,0.105532646,-0.048486471
Andy,3,1,0.157509327,0.06599164,-0.091517687
Andy,3,2,0.164349794,0.082047701,-0.082302094
Andy,3,3,0.122284889,0.072424412,-0.049860477
Andy,3,4,0.148296118,0.075554371,-0.072741747
Andy,3,5,0.128415346,0.072305679,-0.056109667
Andy,3,6,0.162161112,0.056545496,-0.105615616
Andy,3,7,0.144700289,0.075549126,-0.069151163
Andy,3,8,0.100352049,0.064013481,-0.036338568
Andy,3,9,0.149392366,0.078765154,-0.070627213
Andy,3,10,0.108309269,0.125116825,0.016807556
Andy,4,1,0.17237401,0.086166859,-0.086207151
Andy,4,2,0.145973921,1.005747557,0.859773636
Andy,4,3,0.160897732,0.08864069,-0.072257042
Andy,4,4,0.10835743,0.049520016,-0.058837414
Andy,4,5,0.122118711,0.049172163,-0.072946548
Andy,4,6,0.145421743,0.072267771,-0.073153973
Andy,4,7,0.134879589,0.066051245,-0.068828344
Andy,4,8,0.144201279,0.104820728,-0.03938055
Andy,4,9,0.159722328,0.123272896,-0.036449432
Andy,4,10,0.165120363,0.108653784,-0.056466579
Andy,5,1,0.174313307,0.092101812,-0.082211494
Andy,5,2,0.145404577,0.096124172,-0.049280405
Andy,5,3,0.152673483,0.09308219,-0.059591293
Andy,5,4,0.149240017,0.099768639,-0.049471378
Andy,5,5,0.146168232,0.059681177,-0.086487055
Andy,5,6,0.136501312,0.077334166,-0.059167147
Andy,5,7,0.101997375,0.103038549,0.001041174
Andy,5,8,0.16782403,0.105012894,-0.062811136
Andy,5,9,0.174488783,0.108404875,-0.066083908
Andy,5,10,0.131972551,0.111967087,-0.020005465
Andy,6,1,0.134998083,0.135476589,0.000478506
Andy,6,2,0.157982111,0.088426828,-0.069555283
Andy,6,3,0.129508018,0.081802607,-0.047705412
Andy,6,4,0.138495207,0.076138496,-0.06235671
Andy,6,5,0.122293472,0.121722937,-0.000570536
Andy,6,6,0.144671917,0.085144043,-0.059527874
Andy,6,7,0.148403168,0.109022856,-0.039380312
Andy,6,8,0.105113268,0.092067719,-0.013045549
Andy,6,9,0.111331701,0.058987379,-0.052344322
Andy,6,10,0.12532568,0.07258749,-0.05273819
Andy,7,1,0.128370762,0.072455168,-0.055915594
Andy,7,2,0.11177516,0.069124699,-0.042650461
Andy,7,3,0.133746147,0.128974915,-0.004771233
Andy,7,4,0.125009537,0.075403452,-0.049606085
Andy,7,5,0.13334465,0.08844161,-0.04490304
Andy,7,6,0.11975193,0.069482803,-0.050269127
Andy,7,7,0.147752047,0.114762783,-0.032989264
Andy,7,8,0.127626896,0.062130213,-0.065496683
Andy,7,9,0.107400656,0.071371555,-0.0360291
Andy,7,10,0.163307428,0.1573596,-0.005947828
Andy,8,1,0.138592005,0.082103729,-0.056488276
Andy,8,2,0.145559788,0.114691019,-0.030868769
Andy,8,3,0.145058155,0.078773022,-0.066285133
Andy,8,4,0.121658802,0.075297117,-0.046361685
Andy,8,5,0.079985857,0.056052446,-0.023933411
Andy,8,6,0.124092817,0.049343109,-0.074749708
Andy,8,7,0.095061064,0.085219622,-0.009841442
Andy,8,8,0.137187481,0.0782094,-0.058978081
Andy,8,9,0.123999357,0.094513416,-0.029485941
Andy,8,10,0.138164282,0.098545313,-0.039618969
Andy,9,1,0.168520212,0.118839741,-0.049680471
Andy,9,2,0.147779703,0.091656685,-0.056123018
Andy,9,3,0.15059948,0.102602959,-0.047996521
Andy,9,4,0.146567106,0.14941287,0.002845764
Andy,9,5,0.156163692,0.095315695,-0.060847998
Andy,9,6,0.142333269,0.076171875,-0.066161394
Andy,9,7,0.155803442,0.093985081,-0.061818361
Andy,9,8,0.14503932,0.085702419,-0.059336901
Andy,9,9,0.09193182,0.07897687,-0.01295495
Andy,9,10,0.148150444,0.108570814,-0.03957963
Andy,10,1,0.131723881,0.055868626,-0.075855255
Andy,10,2,0.144929171,0.07557869,-0.069350481
Andy,10,3,0.131194353,0.081632853,-0.049561501
Andy,10,4,0.143722057,0.14078331,-0.002938747
Andy,10,5,0.134697914,0.890855074,0.75615716
Andy,10,6,0.135237694,0.710327625,0.575089931
Andy,10,7,0.13629961,1.310174704,1.173875093
Andy,10,8,0.169468164,0.611502647,0.442034483
Andy,10,9,0.133887291,0.091896296,-0.041990995
Andy,10,10,0.139875412,0.944401503,0.804526091
Andy,1,1,0.124243736,0.276458263,0.152214527
Andy,1,2,0.104215622,0.218603134,0.114387512
Andy,1,3,0.112164974,0.202102184,0.08993721
Andy,1,4,0.106036186,0.333517075,0.227480888
Andy,1,5,0.128654718,0.192888498,0.06423378
Andy,1,6,0.131131887,0.234872341,0.103740454
Andy,1,7,0.110291481,0.172502041,0.06221056
Andy,1,8,0.144491911,0.13138485,-0.013107061
Andy,1,9,0.177778244,0.255681276,0.077903032
Andy,1,10,0.111800194,0.718207359,0.606407166
Andy,2,1,0.092823267,0.169509411,0.076686144
Andy,2,2,0.172670364,0.22757268,0.054902315
Andy,2,3,0.115013361,0.171419382,0.056406021
Andy,2,4,0.171314478,0.131714821,-0.039599657
Andy,2,5,0.132484913,0.179731369,0.047246456
Andy,2,6,0.117936134,0.203543663,0.085607529
Andy,2,7,0.096586466,0.151062727,0.054476261
Andy,2,8,0.101895809,0.189850092,0.087954283
Andy,2,9,0.095467091,0.174254179,0.078787088
Andy,2,10,0.107740879,0.177985668,0.070244789
Andy,3,1,0.124520302,0.152540445,0.028020144
Andy,3,2,0.125766516,0.199532509,0.073765993
Andy,3,3,0.109014511,0.193513632,0.084499121
Andy,3,4,0.135206223,0.161660194,0.026453972
Andy,3,5,0.115276098,0.18265605,0.067379951
Andy,3,6,0.12199235,0.187362194,0.065369844
Andy,3,7,0.121100664,0.168696404,0.047595739
Andy,3,8,0.109638691,0.161391735,0.051753044
Andy,3,9,0.110018253,0.152913094,0.04289484
Andy,3,10,0.055138826,0.158670425,0.103531599
Andy,4,1,0.069674969,0.060113907,-0.009561062
Andy,4,2,0.125146151,0.328396797,0.203250647
Andy,4,3,0.152809858,0.844407082,0.691597223
Andy,4,4,0.134823084,0.156322718,0.021499634
Andy,4,5,0.060329676,0.416448593,0.356118917
Andy,4,6,0.12247777,0.210762024,0.088284254
Andy,4,7,0.108520746,0.190184355,0.081663609
Andy,4,8,0.115142345,0.140038967,0.024896622
